"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB_Micro-B_Wuerth-614105150721_Vertical";1;"614105150721";;;
2;"P4";"1X05";1;"CONN_01X05";;;
3;"C1";"0805";1;"10uF";;;
4;"C2,C3";"0603";2;"1uF";;;
5;"P5";"1X01";1;"CONN_01X01";;;
6;"U3";"SOT-23-5";1;"MIC5504";;;
7;"H1,H2";"hole-m2.5";2;"hole";;;
8;"D1,D2,D3,D4";"WS2812B";4;"WS2812B";;;
9;"J3";"Pin_Header_Straight_1x01_Pitch1.27mm";1;"CONN_01X01";;;
10;"U2";"RFM69CW";1;"RFM69CW";;;
11;"U1";"TQFP32-08";1;"SAMD21E18";;;
12;"C4";"0603";1;"DNP";;;
13;"P3";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CONN_01X04";;;
14;"U4";"SOT-353_SC-70-5";1;"74LVC1G125";;;
15;"R1";"R_0603";1;"470";;;
16;"R2";"R_0603";1;"10k";;;
17;"R3";"R_0805";1;"20";;;
18;"U5";"SOT-23";1;"MOSFET_RK7002BMT116";;;
