Designator,Mid X,Mid Y,Rotation,Layer
C1,72.3,-99.1,90.0,top
C10,72.8,-104.2,270.0,top
C11,69.58,-100.965,180.0,top
C12,70.1,-99.74,180.0,top
C13,67.0,-103.245,90.0,top
C14,65.8,-103.265,90.0,top
C15,69.325,-106.065,0.0,top
C16,61.89,-104.92,180.0,top
C17,61.865,-106.12,180.0,top
C18,64.46,-93.24,0.0,top
C19,61.4,-95.14,270.0,top
C2,75.98,-102.4,0.0,top
C20,70.9,-130.4,0.0,top
C21,63.63,-107.74,0.0,top
C22,70.27,-107.74,0.0,top
C23,76.93,-107.74,0.0,top
C24,65.0,-122.04,0.0,top
C25,78.38,-119.84,0.0,top
C26,68.1,-128.7,0.0,top
C3,78.7,-100.2,0.0,top
C4,77.9,-122.02,90.0,top
C5,70.6,-129.1,0.0,top
C6,79.1,-121.975,90.0,top
C7,78.8,-133.9,90.0,top
C8,72.3,-97.22,270.0,top
C9,78.4,-101.4,0.0,top
D1,63.35,-115.74,180.0,top
D2,65.1025,-117.64,0.0,top
D3,78.15,-97.6375,90.0,top
D4,65.7,-105.54,180.0,top
D5,69.95,-115.74,180.0,top
D6,76.65,-115.74,180.0,top
D7,65.3,-96.4,0.0,top
FB1,67.7,-130.2,0.0,top
J1,75.37675,-90.49,180.0,top
L1,77.2275,-134.7,180.0,top
R1,74.5,-103.3,270.0,top
R10,69.8,-97.04,0.0,top
R11,69.79,-98.14,0.0,top
R2,67.59,-117.64,180.0,top
R3,75.6,-103.89,270.0,top
R4,76.96,-108.74,180.0,top
R5,61.21,-97.94,0.0,top
R6,63.9,-106.24,90.0,top
R7,63.64,-108.74,0.0,top
R8,70.34,-108.74,0.0,top
R9,65.0,-123.14,180.0,top
SW1,76.65,-112.14,90.0,top
SW2,63.35,-112.14,90.0,top
SW3,70.0,-112.14,90.0,top
U1,72.2,-122.04,90.0,top
U2,71.1,-122.6,270.0,bottom
U3,74.6,-98.6875,180.0,top
U4,62.3,-103.14,0.0,top
U5,69.5625,-103.165,180.0,top
U6,65.0,-125.74,90.0,top
