Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",99.920000,-81.200000,0.000000,top
"C2","100nF","C_0402_1005Metric",105.791322,-82.100000,-18.000000,top
"C3","100nF","C_0402_1005Metric",111.000000,-84.800000,-36.000000,top
"C4","100nF","C_0402_1005Metric",115.200000,-89.000000,-54.000000,top
"C5","100nF","C_0402_1005Metric",117.900000,-94.228677,-72.000000,top
"C6","100nF","C_0402_1005Metric",118.800000,-100.100000,-90.000000,top
"C7","100nF","C_0402_1005Metric",117.900000,-105.900000,-108.000000,top
"C8","100nF","C_0402_1005Metric",115.200000,-111.200000,-126.000000,top
"C9","100nF","C_0402_1005Metric",111.000000,-115.400000,-144.000000,top
"C10","100nF","C_0402_1005Metric",105.743493,-118.048328,-162.000000,top
"C11","100nF","C_0402_1005Metric",99.920000,-119.100000,180.000000,top
"C12","100nF","C_0402_1005Metric",94.048677,-118.000000,162.000000,top
"C13","100nF","C_0402_1005Metric",88.800000,-115.300000,144.000000,top
"C14","100nF","C_0402_1005Metric",84.617863,-111.211672,126.000000,top
"C15","100nF","C_0402_1005Metric",81.900000,-105.900000,108.000000,top
"C16","100nF","C_0402_1005Metric",81.000000,-100.100000,90.000000,top
"C17","100nF","C_0402_1005Metric",82.000000,-94.228677,72.000000,top
"C18","100nF","C_0402_1005Metric",84.600000,-89.000000,54.000000,top
"C19","100nF","C_0402_1005Metric",88.900000,-84.800000,36.000000,top
"C20","100nF","C_0402_1005Metric",94.100000,-82.100000,18.000000,top
"C21","22uF","C_0805_2012Metric",102.600000,-81.750000,90.000000,top
"D1","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",99.920118,-82.548180,180.000000,top
"D2","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",105.327915,-83.404690,162.000000,top
"D3","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",110.206359,-85.890382,144.000000,top
"D4","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",114.077915,-89.761938,126.000000,top
"D5","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",116.563607,-94.640382,108.000000,top
"D6","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",117.420118,-100.048180,90.000000,top
"D7","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",116.563607,-105.455977,72.000000,top
"D8","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",114.077915,-110.334421,54.000000,top
"D9","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",110.206359,-114.205977,36.000000,top
"D10","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",105.327915,-116.691669,18.000000,top
"D11","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",99.920118,-117.548180,0.000000,top
"D12","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",94.512320,-116.691669,-18.000000,top
"D13","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",89.633876,-114.205977,-36.000000,top
"D14","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",85.762320,-110.334421,-54.000000,top
"D15","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",83.276628,-105.455977,-72.000000,top
"D16","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",82.420118,-100.048180,-90.000000,top
"D17","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",83.276628,-94.640382,-108.000000,top
"D18","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",85.762320,-89.761938,-126.000000,top
"D19","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",89.633876,-85.890382,-144.000000,top
"D20","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC-WS2812B",94.512320,-83.404690,-162.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",102.440000,-78.700000,-90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",102.440000,-121.400000,-90.000000,top
"R1","560","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",97.100000,-82.287500,-90.000000,top
"R2","560","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",97.500000,-117.887500,-90.000000,top
