Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,151.420000,-68.500000,0.000000,top
C2,100nF,C_0402_1005Metric,157.625186,-69.316928,-15.000000,top
C3,100nF,C_0402_1005Metric,163.407500,-71.712040,-30.000000,top
C4,100nF,C_0402_1005Metric,168.372885,-75.522114,-45.000000,top
C5,100nF,C_0402_1005Metric,172.182959,-80.487500,-60.000000,top
C6,100nF,C_0402_1005Metric,174.578071,-86.269813,-75.000000,top
C7,100nF,C_0402_1005Metric,175.395000,-92.475000,-90.000000,top
C8,100nF,C_0402_1005Metric,174.578071,-98.680186,-105.000000,top
C9,100nF,C_0402_1005Metric,172.182959,-104.462500,-120.000000,top
C10,100nF,C_0402_1005Metric,168.372885,-109.427885,-135.000000,top
C11,100nF,C_0402_1005Metric,163.407500,-113.237959,-150.000000,top
C12,100nF,C_0402_1005Metric,157.625186,-115.633071,-165.000000,top
C13,100nF,C_0402_1005Metric,151.420000,-116.450000,180.000000,top
C14,100nF,C_0402_1005Metric,145.214813,-115.633071,165.000000,top
C15,100nF,C_0402_1005Metric,139.432500,-113.237959,150.000000,top
C16,100nF,C_0402_1005Metric,134.467114,-109.427885,135.000000,top
C17,100nF,C_0402_1005Metric,130.657040,-104.462500,120.000000,top
C18,100nF,C_0402_1005Metric,128.261928,-98.680186,105.000000,top
C19,100nF,C_0402_1005Metric,127.445000,-92.475000,90.000000,top
C20,100nF,C_0402_1005Metric,128.261928,-86.269813,75.000000,top
C21,100nF,C_0402_1005Metric,130.657040,-80.487500,60.000000,top
C22,100nF,C_0402_1005Metric,134.467114,-75.522114,45.000000,top
C23,100nF,C_0402_1005Metric,139.432500,-71.712040,30.000000,top
C24,100nF,C_0402_1005Metric,145.214813,-69.316928,15.000000,top
C25,22uF,C_0805_2012Metric,153.900000,-69.050000,90.000000,top
D1,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,151.425000,-69.975000,180.000000,top
D2,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,157.248428,-70.741668,165.000000,top
D3,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,162.675000,-72.989428,150.000000,top
D4,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,167.334902,-76.565097,135.000000,top
D5,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,170.910571,-81.225000,120.000000,top
D6,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,173.158331,-86.651571,105.000000,top
D7,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,173.925000,-92.475000,90.000000,top
D8,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,173.158331,-98.298428,75.000000,top
D9,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,170.910571,-103.725000,60.000000,top
D10,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,167.334902,-108.384902,45.000000,top
D11,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,162.675000,-111.960571,30.000000,top
D12,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,157.248428,-114.208331,15.000000,top
D13,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,151.425000,-114.975000,0.000000,top
D14,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,145.601571,-114.208331,-15.000000,top
D15,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,140.175000,-111.960571,-30.000000,top
D16,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,135.515097,-108.384902,-45.000000,top
D17,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,131.939428,-103.725000,-60.000000,top
D18,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,129.691668,-98.298428,-75.000000,top
D19,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,128.925000,-92.475000,-90.000000,top
D20,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,129.691668,-86.651571,-105.000000,top
D21,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,131.939428,-81.225000,-120.000000,top
D22,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,135.515097,-76.565097,-135.000000,top
D23,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,140.175000,-72.989428,-150.000000,top
D24,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC-WS2812B,145.601571,-70.741668,-165.000000,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,153.900000,-66.000000,-90.000000,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,153.900000,-119.000000,-90.000000,top
R1,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.700000,-69.587500,-90.000000,top
R2,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.100000,-115.387500,-90.000000,top
